sp|Q74EE6|Y1016_GEOSL	K07085
tr|Q74G61|Q74G61_GEOSL	K07220
tr|I7F9Q7|I7F9Q7_GEOSL
tr|I7FKA6|I7FKA6_GEOSL
tr|Q748F9|Q748F9_GEOSL	K02396
tr|Q749G3|Q749G3_GEOSL
tr|Q748I3|Q748I3_GEOSL	K11381
tr|Q74FJ2|Q74FJ2_GEOSL
tr|Q74AK8|Q74AK8_GEOSL
tr|Q74GH9|Q74GH9_GEOSL	K24967
tr|Q74GZ8|Q74GZ8_GEOSL	K09747
tr|Q748K3|Q748K3_GEOSL	K07005
tr|Q74FD7|Q74FD7_GEOSL
tr|Q74EE5|Q74EE5_GEOSL	K00760
tr|Q74BW3|Q74BW3_GEOSL	K00981
tr|Q74BQ2|Q74BQ2_GEOSL
tr|Q74CP3|Q74CP3_GEOSL
tr|Q74C55|Q74C55_GEOSL	K00990
tr|Q74E35|Q74E35_GEOSL
tr|Q74CQ4|Q74CQ4_GEOSL	K03413
tr|Q74FB1|Q74FB1_GEOSL
tr|Q747N2|Q747N2_GEOSL
tr|Q74DL1|Q74DL1_GEOSL	K00262
tr|Q74GF8|Q74GF8_GEOSL
tr|Q74CN9|Q74CN9_GEOSL	K23270
tr|Q74FC6|Q74FC6_GEOSL	K03406
tr|Q748X7|Q748X7_GEOSL	K03521
tr|I7F9E4|I7F9E4_GEOSL	K02003
tr|Q74E02|Q74E02_GEOSL	K02003
tr|Q747Y2|Q747Y2_GEOSL	K05366
tr|Q74DQ5|Q74DQ5_GEOSL
tr|Q74DF9|Q74DF9_GEOSL
tr|Q74AP6|Q74AP6_GEOSL	K01588
tr|Q74G65|Q74G65_GEOSL
tr|Q74FU0|Q74FU0_GEOSL
tr|Q74F53|Q74F53_GEOSL	K03406
tr|Q749C2|Q749C2_GEOSL	K02588
tr|Q74CT8|Q74CT8_GEOSL	K01935
tr|Q74GU1|Q74GU1_GEOSL	K03574
tr|Q74DJ0|Q74DJ0_GEOSL	K03655
tr|Q74AU0|Q74AU0_GEOSL	K11085
tr|Q74C66|Q74C66_GEOSL	K03798
tr|Q74E69|Q74E69_GEOSL	K02039
tr|Q74F74|Q74F74_GEOSL	K02806
tr|Q74AT3|Q74AT3_GEOSL	K07277
tr|Q74GH8|Q74GH8_GEOSL	K07090
tr|Q74H62|Q74H62_GEOSL
tr|Q749Y3|Q749Y3_GEOSL
tr|Q74GL8|Q74GL8_GEOSL
tr|Q74AN7|Q74AN7_GEOSL
tr|Q747H4|Q747H4_GEOSL	K09825
tr|Q74DH5|Q74DH5_GEOSL	K02003
tr|Q74EJ3|Q74EJ3_GEOSL	K03797
tr|Q74CU3|Q74CU3_GEOSL	K01849
tr|Q74DD3|Q74DD3_GEOSL	K02342
tr|Q74AX3|Q74AX3_GEOSL	K03595
tr|I7EP62|I7EP62_GEOSL	K01803
tr|Q749W8|Q749W8_GEOSL	K10823
tr|I7FK51|I7FK51_GEOSL
tr|Q74E65|Q74E65_GEOSL	K02040
tr|Q74GZ2|Q74GZ2_GEOSL	K18890
tr|Q74FY2|Q74FY2_GEOSL	K07714
tr|Q74B14|Q74B14_GEOSL	K00658
tr|Q74CN8|Q74CN8_GEOSL	K23265
tr|Q74DW1|Q74DW1_GEOSL	K03455
tr|Q3V8C8|Q3V8C8_GEOSL	K01652
tr|Q74D28|Q74D28_GEOSL	K02652
tr|Q74CP2|Q74CP2_GEOSL
tr|Q74A60|Q74A60_GEOSL	K06949
tr|Q747X7|Q747X7_GEOSL
tr|Q74DV0|Q74DV0_GEOSL	K16013
tr|Q74AB5|Q74AB5_GEOSL
tr|Q74EU0|Q74EU0_GEOSL	K19224
tr|Q749D0|Q749D0_GEOSL	K00428
tr|Q748A2|Q748A2_GEOSL	K12574
tr|Q74DQ9|Q74DQ9_GEOSL	K07152
tr|Q74GV0|Q74GV0_GEOSL
tr|Q74GN6|Q74GN6_GEOSL	K01989
tr|Q74AQ5|Q74AQ5_GEOSL
tr|Q746S0|Q746S0_GEOSL	K00925
tr|Q74D73|Q74D73_GEOSL	K06871
tr|Q74EF7|Q74EF7_GEOSL	K05540
tr|Q74G55|Q74G55_GEOSL
tr|Q74AW7|Q74AW7_GEOSL	K01874
tr|Q748P1|Q748P1_GEOSL	K02017
tr|Q749S3|Q749S3_GEOSL
tr|Q74BU0|Q74BU0_GEOSL	K00767
tr|Q74GW6|Q74GW6_GEOSL	K04066
tr|Q74EA6|Q74EA6_GEOSL
tr|Q74B97|Q74B97_GEOSL	K07642
tr|Q74B22|Q74B22_GEOSL	K22900
tr|Q74EW8|Q74EW8_GEOSL	K02481
tr|Q74F30|Q74F30_GEOSL
tr|Q748M0|Q748M0_GEOSL	K03832
tr|Q74FE8|Q74FE8_GEOSL	K00948
tr|Q74DI4|Q74DI4_GEOSL	K07787
tr|Q74A83|Q74A83_GEOSL	K02482
tr|Q74AL0|Q74AL0_GEOSL	K05565
tr|Q74F93|Q74F93_GEOSL	K22684
tr|Q747J0|Q747J0_GEOSL
tr|Q74DH0|Q74DH0_GEOSL	K23163
tr|Q746X6|Q746X6_GEOSL	K01995
tr|Q74G44|Q74G44_GEOSL
tr|Q74D25|Q74D25_GEOSL	K02668
tr|Q749J4|Q749J4_GEOSL
tr|Q749M8|Q749M8_GEOSL
tr|Q74FR2|Q74FR2_GEOSL
tr|Q746T9|Q746T9_GEOSL	K00343
tr|Q748L4|Q748L4_GEOSL	K02076
tr|Q74EF5|Q74EF5_GEOSL
tr|Q74F08|Q74F08_GEOSL
tr|Q747X6|Q747X6_GEOSL
tr|Q74E47|Q74E47_GEOSL
tr|Q74BZ6|Q74BZ6_GEOSL	K08483
tr|Q74EL5|Q74EL5_GEOSL	K02003
tr|Q74EZ3|Q74EZ3_GEOSL	K02065
tr|I7EEY1|I7EEY1_GEOSL
tr|Q74DL8|Q74DL8_GEOSL	K03406
tr|Q74E00|Q74E00_GEOSL	K02004
tr|Q74CI3|Q74CI3_GEOSL	K14652
tr|Q748E0|Q748E0_GEOSL	K03590
tr|Q74D11|Q74D11_GEOSL
tr|Q74GQ7|Q74GQ7_GEOSL	K05591
tr|Q74BV5|Q74BV5_GEOSL
tr|Q74F57|Q74F57_GEOSL
tr|Q749T9|Q749T9_GEOSL
tr|Q74A84|Q74A84_GEOSL
tr|Q748T6|Q748T6_GEOSL	K07714
tr|Q74EC5|Q74EC5_GEOSL
tr|Q748I0|Q748I0_GEOSL
tr|Q746U4|Q746U4_GEOSL	K00520
tr|Q74AA6|Q74AA6_GEOSL	K07667
tr|Q748N7|Q748N7_GEOSL	K02019
tr|Q74EL6|Q74EL6_GEOSL
tr|Q74BV4|Q74BV4_GEOSL
tr|Q74GI5|Q74GI5_GEOSL	K03455
tr|Q747I4|Q747I4_GEOSL	K24866
tr|Q74EM6|Q74EM6_GEOSL
tr|Q746Y1|Q746Y1_GEOSL
tr|Q74CS8|Q74CS8_GEOSL
tr|Q74D15|Q74D15_GEOSL	K09690
tr|Q74DJ6|Q74DJ6_GEOSL
tr|Q74BE8|Q74BE8_GEOSL	K06158
tr|Q748L6|Q748L6_GEOSL	K09817
tr|Q746Z3|Q746Z3_GEOSL	K01783
tr|Q748L1|Q748L1_GEOSL	K02227
tr|Q74DA2|Q74DA2_GEOSL
tr|Q74EN9|Q74EN9_GEOSL	K01338
tr|Q747I8|Q747I8_GEOSL
tr|Q74EJ9|Q74EJ9_GEOSL
tr|Q74G72|Q74G72_GEOSL	K00605
tr|Q74DV8|Q74DV8_GEOSL	K15724
tr|Q748U4|Q748U4_GEOSL	K07089
tr|Q74DM2|Q74DM2_GEOSL	K03406
tr|Q74BY7|Q74BY7_GEOSL	K07814
tr|Q74CD7|Q74CD7_GEOSL	K01912
tr|Q747B0|Q747B0_GEOSL
tr|Q74D68|Q74D68_GEOSL
tr|Q74C84|Q74C84_GEOSL	K01338
tr|Q748M7|Q748M7_GEOSL	K24042
tr|Q74FV4|Q74FV4_GEOSL
tr|Q74FX3|Q74FX3_GEOSL	K01744
tr|Q74CM0|Q74CM0_GEOSL
tr|Q747W1|Q747W1_GEOSL	K03385
tr|Q74H28|Q74H28_GEOSL	K11991
tr|I7F9P6|I7F9P6_GEOSL	K02950
tr|Q74F06|Q74F06_GEOSL	K01007
tr|Q748X9|Q748X9_GEOSL	K02913
tr|Q74C42|Q74C42_GEOSL	K01867
tr|Q74GB8|Q74GB8_GEOSL	K02454
tr|Q74EC9|Q74EC9_GEOSL	K03406
tr|Q74C61|Q74C61_GEOSL	K05589
tr|Q74D75|Q74D75_GEOSL	K01989
tr|Q74BG7|Q74BG7_GEOSL	K03769
tr|I7FKI1|I7FKI1_GEOSL	K02914
tr|Q74H83|Q74H83_GEOSL
tr|Q74EC1|Q74EC1_GEOSL	K07216
tr|Q74CM9|Q74CM9_GEOSL	K06020
tr|Q747L9|Q747L9_GEOSL	K03386
tr|Q748T5|Q748T5_GEOSL
tr|Q748S4|Q748S4_GEOSL
tr|Q748S2|Q748S2_GEOSL	K07216
tr|Q74BQ1|Q74BQ1_GEOSL
tr|Q74C38|Q74C38_GEOSL
tr|Q74G82|Q74G82_GEOSL
tr|Q74F07|Q74F07_GEOSL
tr|Q74BY6|Q74BY6_GEOSL	K03270
tr|Q746W0|Q746W0_GEOSL	K01620
tr|Q74D14|Q74D14_GEOSL	K09691
tr|Q74GJ0|Q74GJ0_GEOSL	K07216
tr|Q74C60|Q74C60_GEOSL	K08678
tr|Q74E46|Q74E46_GEOSL
tr|Q74EY6|Q74EY6_GEOSL	K03769
tr|Q74EY1|Q74EY1_GEOSL	K15725
tr|Q749L8|Q749L8_GEOSL
tr|Q74CF4|Q74CF4_GEOSL	K01737
tr|Q748X5|Q748X5_GEOSL	K02996
tr|Q74E85|Q74E85_GEOSL
tr|Q74GI2|Q74GI2_GEOSL	K07552
tr|Q749P0|Q749P0_GEOSL	K06857
tr|Q74AM7|Q74AM7_GEOSL
tr|Q74DY3|Q74DY3_GEOSL	K00705
tr|Q74B29|Q74B29_GEOSL	K03269
tr|Q74B15|Q74B15_GEOSL	K07126
tr|Q747Z3|Q747Z3_GEOSL
tr|Q74D18|Q74D18_GEOSL	K01990
tr|Q74D76|Q74D76_GEOSL	K13587
tr|Q74FF3|Q74FF3_GEOSL	K00826
tr|Q74CY7|Q74CY7_GEOSL	K03582
tr|Q74DY2|Q74DY2_GEOSL	K01740
tr|Q74EC0|Q74EC0_GEOSL
tr|Q74GJ2|Q74GJ2_GEOSL
tr|Q74GY9|Q74GY9_GEOSL
tr|Q74F91|Q74F91_GEOSL
tr|Q749X9|Q749X9_GEOSL
tr|Q749I4|Q749I4_GEOSL	K03455
tr|Q74FY5|Q74FY5_GEOSL
tr|Q74H82|Q74H82_GEOSL
tr|Q747R7|Q747R7_GEOSL	K03413
tr|Q74E24|Q74E24_GEOSL	K03406
tr|Q74B25|Q74B25_GEOSL	K07058
tr|Q74FM3|Q74FM3_GEOSL
tr|Q74FL4|Q74FL4_GEOSL
tr|Q74EN2|Q74EN2_GEOSL
tr|Q74F69|Q74F69_GEOSL
tr|Q74GU5|Q74GU5_GEOSL
tr|Q74GY8|Q74GY8_GEOSL
tr|Q74C75|Q74C75_GEOSL	K00928
tr|Q74CL6|Q74CL6_GEOSL
tr|Q74H85|Q74H85_GEOSL
tr|Q74ED0|Q74ED0_GEOSL	K03406
tr|Q747L2|Q747L2_GEOSL
tr|Q748K9|Q748K9_GEOSL	K02232
tr|Q748Q0|Q748Q0_GEOSL	K02049
tr|Q74AR5|Q74AR5_GEOSL
tr|Q74B94|Q74B94_GEOSL	K01534
tr|Q74AH1|Q74AH1_GEOSL
tr|Q74E63|Q74E63_GEOSL	K07636
tr|Q74FY9|Q74FY9_GEOSL
tr|Q74A55|Q74A55_GEOSL
tr|Q74GH1|Q74GH1_GEOSL
tr|Q74AT1|Q74AT1_GEOSL	K09808
tr|Q74DG9|Q74DG9_GEOSL	K02046
tr|Q74EV6|Q74EV6_GEOSL	K03699
tr|Q74DM3|Q74DM3_GEOSL
tr|Q747Z8|Q747Z8_GEOSL	K03111
tr|Q74DB1|Q74DB1_GEOSL
tr|Q74EZ8|Q74EZ8_GEOSL	K13599
tr|Q74F43|Q74F43_GEOSL
tr|Q74DZ6|Q74DZ6_GEOSL
tr|Q74DD7|Q74DD7_GEOSL	K03711
tr|Q74AX6|Q74AX6_GEOSL	K03413
tr|Q74EG4|Q74EG4_GEOSL	K02314
tr|Q74F41|Q74F41_GEOSL
tr|Q74AR4|Q74AR4_GEOSL
tr|Q74D87|Q74D87_GEOSL
tr|Q74CB7|Q74CB7_GEOSL	K03789
tr|Q74E74|Q74E74_GEOSL
tr|Q749X0|Q749X0_GEOSL
tr|Q74F00|Q74F00_GEOSL	K01673
tr|Q74A26|Q74A26_GEOSL
tr|Q748H9|Q748H9_GEOSL
tr|Q74EL7|Q74EL7_GEOSL	K01760
tr|Q74BR1|Q74BR1_GEOSL
tr|Q74A03|Q74A03_GEOSL	K00382
tr|Q74BZ9|Q74BZ9_GEOSL
tr|Q74FM4|Q74FM4_GEOSL	K03406
tr|Q748U6|Q748U6_GEOSL
tr|Q74FV3|Q74FV3_GEOSL	K06207
tr|Q74BJ0|Q74BJ0_GEOSL	K01912
tr|Q747F6|Q747F6_GEOSL
tr|Q74BU7|Q74BU7_GEOSL
tr|Q74G47|Q74G47_GEOSL	K07216
tr|Q74GW5|Q74GW5_GEOSL	K01462
tr|Q74AE8|Q74AE8_GEOSL	K01958
tr|Q748J6|Q748J6_GEOSL	K02224
tr|Q74DA3|Q74DA3_GEOSL
tr|Q74AA7|Q74AA7_GEOSL	K07646
tr|Q748V0|Q748V0_GEOSL	K07112
tr|Q74AF1|Q74AF1_GEOSL	K01740
tr|Q74BX2|Q74BX2_GEOSL	K01649
tr|Q74DE6|Q74DE6_GEOSL	K07079
tr|Q74CA2|Q74CA2_GEOSL	K03797
tr|Q748L9|Q748L9_GEOSL	K02014
tr|Q74D19|Q74D19_GEOSL
tr|Q74G74|Q74G74_GEOSL
tr|Q74EX2|Q74EX2_GEOSL	K13589
tr|Q747E2|Q747E2_GEOSL	K03701
tr|Q74GJ1|Q74GJ1_GEOSL
tr|Q747A6|Q747A6_GEOSL
tr|Q74C99|Q74C99_GEOSL	K09812
tr|Q74E48|Q74E48_GEOSL
tr|Q74AD0|Q74AD0_GEOSL	K00382
tr|I7EP07|I7EP07_GEOSL	K02004
tr|Q74DU9|Q74DU9_GEOSL	K16012
tr|Q74EF9|Q74EF9_GEOSL	K07712
tr|Q74FG2|Q74FG2_GEOSL
tr|Q74BJ5|Q74BJ5_GEOSL
tr|Q74GP4|Q74GP4_GEOSL	K07402
tr|I7EP00|I7EP00_GEOSL
tr|Q74CQ9|Q74CQ9_GEOSL	K03575
tr|Q74CB8|Q74CB8_GEOSL	K02823
tr|Q74G75|Q74G75_GEOSL
tr|Q746U7|Q746U7_GEOSL	K21563
tr|Q746V2|Q746V2_GEOSL	K12976
tr|Q74F11|Q74F11_GEOSL	K02028
tr|Q74ES8|Q74ES8_GEOSL
tr|Q74DK6|Q74DK6_GEOSL
tr|Q74EI3|Q74EI3_GEOSL
tr|Q74FL6|Q74FL6_GEOSL
tr|Q74BP5|Q74BP5_GEOSL
tr|Q748K5|Q748K5_GEOSL	K00595
tr|Q74EN7|Q74EN7_GEOSL	K02065
tr|Q74E44|Q74E44_GEOSL
tr|Q74H13|Q74H13_GEOSL	K04771
tr|Q74E72|Q74E72_GEOSL
tr|Q74D41|Q74D41_GEOSL	K06872
tr|Q74H11|Q74H11_GEOSL	K06180
tr|Q74E86|Q74E86_GEOSL	K02313
tr|Q74DK1|Q74DK1_GEOSL
tr|Q747S7|Q747S7_GEOSL
tr|Q74BI8|Q74BI8_GEOSL	K00179
tr|Q74DA0|Q74DA0_GEOSL	K13589
tr|Q74G90|Q74G90_GEOSL	K03385
tr|Q74D08|Q74D08_GEOSL
tr|Q748V8|Q748V8_GEOSL
tr|Q74G88|Q74G88_GEOSL
tr|Q74DD6|Q74DD6_GEOSL	K04759
tr|Q74FF7|Q74FF7_GEOSL	K01916
tr|Q747S2|Q747S2_GEOSL	K01338
tr|Q748E8|Q748E8_GEOSL	K04562
tr|Q749F6|Q749F6_GEOSL
tr|Q74CQ6|Q74CQ6_GEOSL	K02346
tr|Q74B96|Q74B96_GEOSL
tr|Q74EQ4|Q74EQ4_GEOSL	K03636
tr|Q748P5|Q748P5_GEOSL
tr|Q74C41|Q74C41_GEOSL
tr|Q74F25|Q74F25_GEOSL
tr|Q74BW5|Q74BW5_GEOSL	K11749
tr|Q74FU7|Q74FU7_GEOSL	K07082
tr|Q74ET2|Q74ET2_GEOSL
tr|Q74EM7|Q74EM7_GEOSL	K03406
tr|Q74CW0|Q74CW0_GEOSL
tr|Q74DL4|Q74DL4_GEOSL
tr|Q74FF6|Q74FF6_GEOSL	K07056
tr|Q74CR9|Q74CR9_GEOSL	K00059
tr|Q74FW0|Q74FW0_GEOSL	K03733
tr|Q747P8|Q747P8_GEOSL	K07714
tr|Q74AZ1|Q74AZ1_GEOSL
tr|Q74A82|Q74A82_GEOSL	K23424
tr|Q74ER7|Q74ER7_GEOSL	K03386
tr|Q74DC2|Q74DC2_GEOSL
tr|Q74E73|Q74E73_GEOSL
tr|Q749M3|Q749M3_GEOSL	K18007
tr|Q74AE0|Q74AE0_GEOSL	K00162
tr|Q74FK5|Q74FK5_GEOSL	K09933
tr|Q74GB5|Q74GB5_GEOSL	K04771
tr|Q74AC3|Q74AC3_GEOSL
tr|Q74FD2|Q74FD2_GEOSL	K02004
tr|Q749S8|Q749S8_GEOSL
tr|Q748Y1|Q748Y1_GEOSL	K02601
tr|Q74EP6|Q74EP6_GEOSL	K03406
tr|Q74FY1|Q74FY1_GEOSL	K07709
tr|Q749S5|Q749S5_GEOSL
tr|Q74B65|Q74B65_GEOSL
tr|Q74EL8|Q74EL8_GEOSL	K01739
tr|Q74G95|Q74G95_GEOSL	K00343
tr|Q74GS6|Q74GS6_GEOSL
tr|I7FID9|I7FID9_GEOSL
tr|Q74BE7|Q74BE7_GEOSL
tr|Q74BE2|Q74BE2_GEOSL
tr|Q74ED2|Q74ED2_GEOSL	K03406
tr|Q749I7|Q749I7_GEOSL	K02030
tr|Q74G06|Q74G06_GEOSL	K09761
tr|Q74EK0|Q74EK0_GEOSL	K02482
tr|Q74ER2|Q74ER2_GEOSL	K03654
tr|Q74BN2|Q74BN2_GEOSL	K01996
tr|Q74CY2|Q74CY2_GEOSL	K01142
tr|Q74EA4|Q74EA4_GEOSL	K01902
tr|Q74H87|Q74H87_GEOSL
tr|Q749I9|Q749I9_GEOSL
tr|Q74H84|Q74H84_GEOSL
tr|Q74DH6|Q74DH6_GEOSL	K02004
tr|Q74BU4|Q74BU4_GEOSL	K00640
tr|Q74D39|Q74D39_GEOSL	K03446
tr|Q748J2|Q748J2_GEOSL	K02231
tr|I7FK92|I7FK92_GEOSL	K00927
tr|Q74FM6|Q74FM6_GEOSL	K01006
tr|Q74AG7|Q74AG7_GEOSL
tr|Q74E16|Q74E16_GEOSL
tr|Q74DW7|Q74DW7_GEOSL	K00058
tr|Q74GR4|Q74GR4_GEOSL
tr|Q74CT5|Q74CT5_GEOSL	K02600
tr|I7FI81|I7FI81_GEOSL
tr|Q74C03|Q74C03_GEOSL	K08602
tr|Q74GL9|Q74GL9_GEOSL	K15336
tr|Q74AD5|Q74AD5_GEOSL
tr|Q74C56|Q74C56_GEOSL	K04763
tr|Q74H03|Q74H03_GEOSL	K03388
tr|Q74DN3|Q74DN3_GEOSL	K19342
tr|Q74ER6|Q74ER6_GEOSL	K03768
tr|Q747K2|Q747K2_GEOSL
tr|Q748L0|Q748L0_GEOSL
tr|Q74ER8|Q74ER8_GEOSL
tr|Q74DT4|Q74DT4_GEOSL
tr|I7FKG0|I7FKG0_GEOSL	K01990
tr|Q74A19|Q74A19_GEOSL	K00640
tr|Q74B52|Q74B52_GEOSL
tr|Q74CN7|Q74CN7_GEOSL	K00764
tr|Q74GE2|Q74GE2_GEOSL	K01256
tr|Q74DM7|Q74DM7_GEOSL	K03413
tr|Q74GC8|Q74GC8_GEOSL	K06013
tr|Q749B9|Q749B9_GEOSL	K01992
tr|Q74C91|Q74C91_GEOSL	K02652
tr|Q74H45|Q74H45_GEOSL	K07497
tr|I7F9P2|I7F9P2_GEOSL
tr|Q74CF2|Q74CF2_GEOSL	K01470
tr|Q74FZ1|Q74FZ1_GEOSL	K00059
tr|Q74AH3|Q74AH3_GEOSL	K01658
tr|Q74G17|Q74G17_GEOSL	K02652
tr|Q74EU9|Q74EU9_GEOSL
tr|Q74CU1|Q74CU1_GEOSL
tr|Q748E1|Q748E1_GEOSL	K03531
tr|Q74A16|Q74A16_GEOSL	K11527
tr|Q74F34|Q74F34_GEOSL	K02482
tr|Q74G46|Q74G46_GEOSL	K03413
tr|Q74C24|Q74C24_GEOSL
tr|Q748Q5|Q748Q5_GEOSL	K07665
tr|Q74CH0|Q74CH0_GEOSL	K21071
tr|Q74FB7|Q74FB7_GEOSL	K18478
tr|Q74A59|Q74A59_GEOSL
tr|Q74BN3|Q74BN3_GEOSL	K01995
tr|Q74BA6|Q74BA6_GEOSL	K15726
tr|Q74AD3|Q74AD3_GEOSL	K00161
tr|Q74B20|Q74B20_GEOSL	K02003
tr|Q74EP0|Q74EP0_GEOSL	K06158
tr|Q74AA9|Q74AA9_GEOSL	K01547
tr|Q74AR0|Q74AR0_GEOSL	K00259
tr|Q74FD1|Q74FD1_GEOSL	K02003
tr|Q74FK8|Q74FK8_GEOSL	K02482
tr|Q74B54|Q74B54_GEOSL	K02004
tr|Q74BK0|Q74BK0_GEOSL	K07714
tr|Q746T1|Q746T1_GEOSL
tr|Q74DP0|Q74DP0_GEOSL	K01955
tr|Q74AY7|Q74AY7_GEOSL	K03413
tr|Q74A23|Q74A23_GEOSL	K18707
tr|Q748R6|Q748R6_GEOSL
tr|Q74C59|Q74C59_GEOSL	K00012
tr|Q74BM3|Q74BM3_GEOSL	K02437
tr|Q74GB7|Q74GB7_GEOSL	K02453
tr|Q749U1|Q749U1_GEOSL	K02028
tr|Q74CE5|Q74CE5_GEOSL	K01912
tr|Q74GB9|Q74GB9_GEOSL	K02455
tr|Q74BH3|Q74BH3_GEOSL	K00850
tr|Q747M7|Q747M7_GEOSL
tr|Q74BJ9|Q74BJ9_GEOSL	K02482
tr|Q74BE4|Q74BE4_GEOSL	K07321
tr|Q74E23|Q74E23_GEOSL	K03406
tr|Q74A88|Q74A88_GEOSL	K00797
tr|Q74AE4|Q74AE4_GEOSL	K08906
tr|Q74BH2|Q74BH2_GEOSL	K01091
tr|Q747Y9|Q747Y9_GEOSL
tr|Q749E2|Q749E2_GEOSL
tr|Q748A7|Q748A7_GEOSL	K03628
tr|Q74B53|Q74B53_GEOSL	K02003
tr|Q749D4|Q749D4_GEOSL	K09825
tr|Q74DY8|Q74DY8_GEOSL	K00239
tr|Q74GI0|Q74GI0_GEOSL
tr|Q74FS9|Q74FS9_GEOSL
tr|Q74DE4|Q74DE4_GEOSL	K18121
tr|Q74DP9|Q74DP9_GEOSL	K03100
tr|Q74CY6|Q74CY6_GEOSL	K03581
tr|I7FIK3|I7FIK3_GEOSL	K02919
tr|Q74FY8|Q74FY8_GEOSL	K14761
tr|Q74DU5|Q74DU5_GEOSL
tr|Q74G48|Q74G48_GEOSL	K03406
tr|Q74FR4|Q74FR4_GEOSL
tr|Q74DV5|Q74DV5_GEOSL
tr|Q74DJ4|Q74DJ4_GEOSL	K06196
tr|Q74E01|Q74E01_GEOSL	K02004
tr|Q74EG9|Q74EG9_GEOSL
tr|Q74E38|Q74E38_GEOSL	K21929
tr|Q74DM0|Q74DM0_GEOSL	K13587
tr|Q747F4|Q747F4_GEOSL	K00626
tr|Q748C1|Q748C1_GEOSL	K07444
tr|Q74F29|Q74F29_GEOSL	K02379
tr|Q74E66|Q74E66_GEOSL	K02037
tr|Q746W8|Q746W8_GEOSL
tr|Q74GD6|Q74GD6_GEOSL	K07001
tr|Q74ER4|Q74ER4_GEOSL	K03568
tr|Q749J1|Q749J1_GEOSL	K07792
tr|Q74GG9|Q74GG9_GEOSL	K12541
tr|Q74D82|Q74D82_GEOSL	K01423
tr|Q746T7|Q746T7_GEOSL	K00341
tr|G5EBD4|G5EBD4_GEOSL	K03529
tr|Q74FJ8|Q74FJ8_GEOSL	K01945
tr|Q74EW7|Q74EW7_GEOSL
tr|I7EPD1|I7EPD1_GEOSL	K01990
tr|Q748P3|Q748P3_GEOSL	K06196
tr|I7FI97|I7FI97_GEOSL
tr|Q748H2|Q748H2_GEOSL	K07045
tr|Q74D51|Q74D51_GEOSL	K00174
tr|Q74GI9|Q74GI9_GEOSL
tr|Q74AQ8|Q74AQ8_GEOSL
tr|Q74CZ7|Q74CZ7_GEOSL
tr|Q74EW5|Q74EW5_GEOSL
tr|Q74BM1|Q74BM1_GEOSL	K02160
tr|Q74CN4|Q74CN4_GEOSL
tr|Q748R4|Q748R4_GEOSL
tr|Q74AQ0|Q74AQ0_GEOSL	K01087
tr|Q74EJ2|Q74EJ2_GEOSL
tr|I7EF17|I7EF17_GEOSL
tr|Q74FI5|Q74FI5_GEOSL
tr|Q747X5|Q747X5_GEOSL
tr|Q74F33|Q74F33_GEOSL
tr|Q74DZ0|Q74DZ0_GEOSL	K00773
tr|Q74DR5|Q74DR5_GEOSL
tr|Q746W9|Q746W9_GEOSL	K15727
tr|Q74G21|Q74G21_GEOSL	K11896
tr|Q746R1|Q746R1_GEOSL	K03567
tr|Q74CQ5|Q74CQ5_GEOSL
tr|Q74EZ2|Q74EZ2_GEOSL	K02066
tr|Q747T9|Q747T9_GEOSL
tr|Q74F90|Q74F90_GEOSL
tr|Q74DT7|Q74DT7_GEOSL
tr|Q74G58|Q74G58_GEOSL
tr|Q74GP1|Q74GP1_GEOSL
tr|Q749D8|Q749D8_GEOSL	K02596
tr|Q749E3|Q749E3_GEOSL	K05521
tr|I7F9F8|I7F9F8_GEOSL
tr|Q74BV7|Q74BV7_GEOSL
tr|Q74DG3|Q74DG3_GEOSL
tr|Q749R0|Q749R0_GEOSL
tr|I7FIB4|I7FIB4_GEOSL
tr|Q74BI5|Q74BI5_GEOSL
tr|Q74D55|Q74D55_GEOSL
tr|Q74ES3|Q74ES3_GEOSL
tr|Q74H24|Q74H24_GEOSL	K08358
tr|Q749B6|Q749B6_GEOSL
tr|Q74G85|Q74G85_GEOSL
tr|Q749G2|Q749G2_GEOSL	K03585
tr|Q74CJ3|Q74CJ3_GEOSL	K24956
tr|Q74BD9|Q74BD9_GEOSL	K04069
tr|Q74C94|Q74C94_GEOSL	K02664
tr|Q74CW4|Q74CW4_GEOSL	K03442
tr|Q74BR2|Q74BR2_GEOSL
tr|I7EPC6|I7EPC6_GEOSL
tr|Q747P0|Q747P0_GEOSL
tr|Q74C15|Q74C15_GEOSL	K00174
tr|Q747Q6|Q747Q6_GEOSL	K09710
tr|Q74H29|Q74H29_GEOSL
tr|Q74BC7|Q74BC7_GEOSL
tr|Q74GR6|Q74GR6_GEOSL
tr|Q74CY1|Q74CY1_GEOSL
tr|Q74C97|Q74C97_GEOSL	K02456
tr|Q74FZ4|Q74FZ4_GEOSL	K02372
tr|Q74DD0|Q74DD0_GEOSL	K19046
tr|I7FIA8|I7FIA8_GEOSL
tr|Q74FC5|Q74FC5_GEOSL	K03408
tr|Q74H63|Q74H63_GEOSL
tr|Q74B31|Q74B31_GEOSL
tr|Q748R1|Q748R1_GEOSL	K01011
tr|Q74B37|Q74B37_GEOSL
tr|Q746S8|Q746S8_GEOSL
tr|Q74FQ8|Q74FQ8_GEOSL
tr|Q749W1|Q749W1_GEOSL
tr|Q748H6|Q748H6_GEOSL	K02385
